year,month,day,region,iso_country_code,total_visits,total_devices_seen,total_home_visits,total_home_visitors
2021,9,1,ALL,"",59053626,16403655,22957062,13071777
2021,9,1,ALL_CA,CA,489726,307957,489726,307957
2021,9,1,ALL_US,US,58563900,16096008,22467336,12763820
2021,9,1,ab,CA,69771,43918,69771,43918
2021,9,1,ak,US,70514,22236,24791,16009
2021,9,1,al,US,1640679,416808,622958,343732
2021,9,1,ar,US,915650,232623,347444,188995
2021,9,1,as,US,6,6,1,1
2021,9,1,az,US,1191205,325135,425430,254508
2021,9,1,bc,CA,58063,38787,58063,38787
2021,9,1,ca,US,4778572,1325294,1709573,1021462
2021,9,1,co,US,920004,265436,326035,192650
2021,9,1,ct,US,438306,142940,183950,105661
2021,9,1,dc,US,66895,31931,14917,9970
2021,9,1,de,US,142848,49010,59536,35607
2021,9,1,fl,US,4220617,1118138,1593130,886141
2021,9,1,ga,US,2635890,683511,981014,538446
2021,9,1,gu,US,45,44,42,41
2021,9,1,hi,US,213195,55531,62956,41287
2021,9,1,ia,US,809265,220607,316912,171027
2021,9,1,id,US,285404,85010,112637,66830
2021,9,1,il,US,2332541,652688,900128,501430
2021,9,1,in,US,1449244,398584,572372,314527
2021,9,1,ks,US,719056,195528,284306,153892
2021,9,1,ky,US,980312,269090,377599,210807
2021,9,1,la,US,897604,248053,348626,192102
2021,9,1,ma,US,759684,248107,292542,169315
2021,9,1,mb,CA,22593,14053,22593,14053
2021,9,1,md,US,735293,255899,304824,184583
2021,9,1,me,US,183178,55715,76185,43309
2021,9,1,mi,US,1697250,480426,684480,380540
2021,9,1,mn,US,894799,267628,346424,201702
2021,9,1,mo,US,1561476,417378,593594,328888
2021,9,1,mp,US,10,10,10,10
2021,9,1,ms,US,900694,234157,332143,183687
2021,9,1,mt,US,152845,46749,56879,34665
2021,9,1,nb,CA,8780,5451,8780,5451
2021,9,1,nc,US,2037397,568703,822696,458100
2021,9,1,nd,US,153912,44931,59259,33357
2021,9,1,ne,US,478713,131024,185195,100142
2021,9,1,nh,US,192737,60920,79269,44897
2021,9,1,nj,US,1229631,414154,532365,311389
2021,9,1,nl,CA,6198,3761,6198,3761
2021,9,1,nm,US,277112,88320,105520,62658
2021,9,1,ns,CA,11038,7049,11038,7049
2021,9,1,nt,CA,272,175,272,175
2021,9,1,nu,CA,103,71,103,71
2021,9,1,nv,US,551518,150747,177687,106844
2021,9,1,ny,US,2269783,760702,888453,528945
2021,9,1,oh,US,2304369,641279,923691,508839
2021,9,1,ok,US,1144021,284984,431080,232960
2021,9,1,on,CA,185851,118386,185851,118386
2021,9,1,or,US,545353,176172,201894,129363
2021,9,1,pa,US,1692950,591325,740927,442870
2021,9,1,pe,CA,1592,997,1592,997
2021,9,1,pr,US,8238,6043,4491,3712
2021,9,1,qc,CA,105597,63262,105597,63262
2021,9,1,ri,US,133840,43860,51633,29692
2021,9,1,sc,US,1223364,331863,486141,267605
2021,9,1,sd,US,183156,52048,70324,39352
2021,9,1,sk,CA,19643,11890,19643,11890
2021,9,1,tn,US,1650365,446126,622217,350712
2021,9,1,tx,US,6667293,1714254,2456173,1358023
2021,9,1,ut,US,502902,142583,193548,109428
2021,9,1,va,US,1281523,391944,512490,298210
2021,9,1,vi,US,173,126,0,0
2021,9,1,vt,US,64233,20993,26201,15293
2021,9,1,wa,US,946254,295692,362661,228390
2021,9,1,wi,US,1012365,296913,410636,231811
2021,9,1,wv,US,322894,100797,135617,78958
2021,9,1,wy,US,96723,30337,35730,21269
2021,9,1,yt,CA,225,161,225,161
2021,9,2,ALL,"",59608358,16112652,22865507,12814522
2021,9,2,ALL_CA,CA,481443,298042,481443,298042
2021,9,2,ALL_US,US,59126915,15814914,22384064,12516480
2021,9,2,ab,CA,68785,42460,68785,42460
2021,9,2,ak,US,67735,21769,24498,15776
2021,9,2,al,US,1663576,415147,625950,339204
2021,9,2,ar,US,916146,230969,345264,186411
2021,9,2,as,US,7,7,1,1
2021,9,2,az,US,1179936,315751,415025,245403
2021,9,2,bc,CA,57297,37612,57297,37612
2021,9,2,ca,US,4751184,1307043,1697637,1005379
2021,9,2,co,US,923648,260944,320391,186553
2021,9,2,ct,US,443605,133177,180678,99505
2021,9,2,dc,US,76924,36245,15219,9531
2021,9,2,de,US,156003,47772,58994,33615
2021,9,2,fl,US,4266769,1115938,1602317,874926
2021,9,2,ga,US,2644374,680958,983040,531524
2021,9,2,gu,US,52,47,44,41
2021,9,2,hi,US,210501,55235,62160,40880
2021,9,2,ia,US,806889,223228,316144,171360
2021,9,2,id,US,283168,84246,111304,65427
2021,9,2,il,US,2328205,649158,896433,495177
2021,9,2,in,US,1450218,395216,572483,310440
2021,9,2,ks,US,721911,199757,285361,155553
2021,9,2,ky,US,988326,268488,379351,208352
2021,9,2,la,US,904159,248199,348143,190291
2021,9,2,ma,US,762319,237151,287899,161897
2021,9,2,mb,CA,22237,13771,22237,13771
2021,9,2,md,US,818993,247937,307393,176492
2021,9,2,me,US,179337,54809,74743,42559
2021,9,2,mi,US,1690582,474948,664837,370758
2021,9,2,mn,US,881455,270209,340131,200996
2021,9,2,mo,US,1567102,416536,593118,325946
2021,9,2,mp,US,7,7,7,7
2021,9,2,ms,US,911975,231234,332479,181086
2021,9,2,mt,US,151375,46137,55474,33768
2021,9,2,nb,CA,8285,5259,8285,5259
2021,9,2,nc,US,2093376,561127,824908,447732
2021,9,2,nd,US,151230,44031,57828,32361
2021,9,2,ne,US,474032,133581,185627,101176
2021,9,2,nh,US,195634,59697,78209,43369
2021,9,2,nj,US,1264425,387652,527084,296023
2021,9,2,nl,CA,6186,3665,6186,3665
2021,9,2,nm,US,277257,85440,102803,60152
2021,9,2,ns,CA,10628,6897,10628,6897
2021,9,2,nt,CA,280,166,280,166
2021,9,2,nu,CA,114,69,114,69
2021,9,2,nv,US,566630,150941,177196,105217
2021,9,2,ny,US,2313635,726034,882950,509360
2021,9,2,oh,US,2308942,635665,923576,500825
2021,9,2,ok,US,1141095,284729,430148,230330
2021,9,2,on,CA,182327,113894,182327,113894
2021,9,2,or,US,539083,174093,200339,127007
2021,9,2,pa,US,1858041,564404,751845,422997
2021,9,2,pe,CA,1567,996,1567,996
2021,9,2,pr,US,7266,5384,3996,3355
2021,9,2,qc,CA,104119,61587,104119,61587
2021,9,2,ri,US,134071,41475,50739,28247
2021,9,2,sc,US,1236151,330978,488558,263308
2021,9,2,sd,US,181249,51416,67767,38108
2021,9,2,sk,CA,19399,11504,19399,11504
2021,9,2,tn,US,1670526,445324,621080,344579
2021,9,2,tx,US,6653934,1699331,2445364,1341189
2021,9,2,ut,US,501769,142068,189603,107430
2021,9,2,va,US,1364436,384573,517967,289663
2021,9,2,vi,US,155,118,0,0
2021,9,2,vt,US,64049,20816,26067,14966
2021,9,2,wa,US,935751,291463,359470,223761
2021,9,2,wi,US,1010242,294984,400648,228147
2021,9,2,wv,US,340978,100931,138602,77624
2021,9,2,wy,US,96477,29856,35172,20711
2021,9,2,yt,CA,219,162,219,162
2021,9,3,ALL,"",63663276,15992014,22256915,12354944
2021,9,3,ALL_CA,CA,466100,287041,466100,287041
2021,9,3,ALL_US,US,63197176,15705279,21790815,12067903
2021,9,3,ab,CA,66991,40556,66991,40556
2021,9,3,ak,US,72945,21578,24214,15122
2021,9,3,al,US,1808820,420987,611577,326890
2021,9,3,ar,US,988556,233615,339661,179985
2021,9,3,as,US,5,5,2,2
2021,9,3,az,US,1257094,313064,412186,234491
2021,9,3,bc,CA,56802,36822,56802,36822
2021,9,3,ca,US,5121174,1301586,1706855,976547
2021,9,3,co,US,983209,263089,315196,179320
2021,9,3,ct,US,484908,134918,177875,97033
2021,9,3,dc,US,76756,32275,14303,9014
2021,9,3,de,US,163797,49743,56636,32380
2021,9,3,fl,US,4636197,1124312,1550915,845730
2021,9,3,ga,US,2827984,681144,944975,509513
2021,9,3,gu,US,44,43,35,35
2021,9,3,hi,US,230598,55483,63697,40395
2021,9,3,ia,US,854402,224064,302952,163863
2021,9,3,id,US,298318,84493,108086,62162
2021,9,3,il,US,2464960,652465,877679,482091
2021,9,3,in,US,1544254,399846,555286,300850
2021,9,3,ks,US,755906,199785,278426,150435
2021,9,3,ky,US,1066466,272950,370548,201988
2021,9,3,la,US,991847,253133,351971,189054
2021,9,3,ma,US,789636,234300,273532,154529
2021,9,3,mb,CA,21394,13074,21394,13074
2021,9,3,md,US,877105,246322,301695,170492
2021,9,3,me,US,192555,56092,71851,41080
2021,9,3,mi,US,1644369,473269,608824,348682
2021,9,3,mn,US,864590,260193,307174,183202
2021,9,3,mo,US,1701679,433544,578858,316836
2021,9,3,mp,US,12,12,12,12
2021,9,3,ms,US,993156,234555,330668,176516
2021,9,3,mt,US,161333,45850,53618,32004
2021,9,3,nb,CA,7997,5104,7997,5104
2021,9,3,nc,US,2241246,566034,798863,431758
2021,9,3,nd,US,157543,42764,53950,30094
2021,9,3,ne,US,504876,129551,176955,94400
2021,9,3,nh,US,207386,61661,73246,41224
2021,9,3,nj,US,1411570,396296,527692,289662
2021,9,3,nl,CA,5525,3397,5525,3397
2021,9,3,nm,US,296601,86942,100840,57596
2021,9,3,ns,CA,10227,6466,10227,6466
2021,9,3,nt,CA,271,176,271,176
2021,9,3,nu,CA,120,74,120,74
2021,9,3,nv,US,631792,153348,174963,101320
2021,9,3,ny,US,2462980,726064,862523,495371
2021,9,3,oh,US,2446374,631982,888193,484674
2021,9,3,ok,US,1211324,288004,416161,221870
2021,9,3,on,CA,177697,110005,177697,110005
2021,9,3,or,US,563727,172437,195931,121950
2021,9,3,pa,US,1997011,564602,722070,408053
2021,9,3,pe,CA,1499,940,1499,940
2021,9,3,pr,US,6779,5050,3742,3171
2021,9,3,qc,CA,98794,59178,98794,59178
2021,9,3,ri,US,146178,42781,49735,27555
2021,9,3,sc,US,1350218,339619,475518,254116
2021,9,3,sd,US,189173,51451,62739,35301
2021,9,3,sk,CA,18566,11103,18566,11103
2021,9,3,tn,US,1812769,458348,608388,333293
2021,9,3,tx,US,7174082,1689088,2404930,1294636
2021,9,3,ut,US,527619,139677,183597,101395
2021,9,3,va,US,1422936,388123,490035,276717
2021,9,3,vi,US,171,122,0,0
2021,9,3,vt,US,70055,21440,24936,14474
2021,9,3,wa,US,990967,290465,355448,215878
2021,9,3,wi,US,1056233,299327,384293,218643
2021,9,3,wv,US,361998,103215,132610,74677
2021,9,3,wy,US,102893,30709,34150,19834
2021,9,3,yt,CA,217,146,217,146
2021,9,4,ALL,"",56000498,15537697,20068548,11604153
2021,9,4,ALL_CA,CA,422935,266955,422935,266955
2021,9,4,ALL_US,US,55577563,15270962,19645613,11337198
2021,9,4,ab,CA,58505,37151,58505,37151
2021,9,4,ak,US,59550,20999,21713,14290
2021,9,4,al,US,1458084,402388,536735,305491
2021,9,4,ar,US,806090,226617,298403,169083
2021,9,4,as,US,5,5,2,2
2021,9,4,az,US,1085760,300468,372499,220834
2021,9,4,bc,CA,54639,35871,54639,35871
2021,9,4,ca,US,4569910,1268669,1544710,928772
2021,9,4,co,US,882545,252702,284560,166740
2021,9,4,ct,US,430305,130908,162924,91841
2021,9,4,dc,US,70447,29602,12971,8337
2021,9,4,de,US,154225,49830,52336,30843
2021,9,4,fl,US,4167880,1100787,1382727,794414
2021,9,4,ga,US,2463246,650676,848143,473889
2021,9,4,gu,US,63,60,54,52
2021,9,4,hi,US,210854,55524,63536,39573
2021,9,4,ia,US,714927,214540,259640,149611
2021,9,4,id,US,254176,81275,96156,57937
2021,9,4,il,US,2157722,628661,788763,451651
2021,9,4,in,US,1312158,385422,495850,281946
2021,9,4,ks,US,620909,181550,236818,134564
2021,9,4,ky,US,895048,261879,335172,191155
2021,9,4,la,US,875914,248716,332216,184652
2021,9,4,ma,US,725784,225698,251445,145187
2021,9,4,mb,CA,19365,12022,19365,12022
2021,9,4,md,US,792816,239108,273548,161658
2021,9,4,me,US,171914,54874,65023,38340
2021,9,4,mi,US,1465290,461719,559863,328021
2021,9,4,mn,US,779662,245841,275936,164960
2021,9,4,mo,US,1441390,416638,507337,292479
2021,9,4,mp,US,12,12,12,12
2021,9,4,ms,US,817572,223240,295928,165832
