year,month,region,num_visits,num_unique_visitors
2021,9,ALL,1069966017,35246173
2021,9,ALL_US,1069966017,35246173
2021,9,ak,1205290,61274
2021,9,al,28899380,943717
2021,9,ar,16007367,553961
2021,9,as,53,36
2021,9,az,21821260,856266
2021,9,ca,89778628,3582978
2021,9,co,17490350,854038
2021,9,ct,7850023,435717
2021,9,dc,1569392,225377
2021,9,de,2743488,167027
2021,9,fl,78443752,2698904
2021,9,ga,47565973,1778737
2021,9,gu,190,112
2021,9,hi,4330434,141359
2021,9,ia,14004179,597574
2021,9,id,4917185,236479
2021,9,il,41383854,1867825
2021,9,in,25290308,1039684
2021,9,ks,12398614,492024
2021,9,ky,17442965,736903
2021,9,la,19100404,704748
2021,9,ma,14018097,806055
2021,9,md,14592236,834587
2021,9,me,3015488,140338
2021,9,mi,28706693,1242847
2021,9,mn,15770221,776493
2021,9,mo,28305501,1093769
2021,9,ms,15824644,539109
2021,9,mt,2676429,134494
2021,9,nc,36264402,1407046
2021,9,nd,2598173,113413
2021,9,ne,8338486,363438
2021,9,nh,3419687,183706
2021,9,nj,24027756,1164675
2021,9,nm,4967142,321524
2021,9,nv,12071462,572554
2021,9,ny,44233174,2319487
2021,9,oh,39562400,1592432
2021,9,ok,20315999,731152
2021,9,or,10146892,511316
2021,9,pa,32864554,1668618
2021,9,pr,87489,24318
2021,9,ri,2531564,157849
2021,9,sc,21747385,839587
2021,9,sd,3242978,147232
2021,9,tn,30581898,1216014
2021,9,tx,122020460,4089336
2021,9,ut,8914988,422908
2021,9,va,24231864,1153038
2021,9,vi,4131,1230
2021,9,vt,1074988,68255
2021,9,wa,16789018,802619
2021,9,wi,17370139,776402
2021,9,wv,5689248,281369
2021,9,wy,1717342,113937
